Spec;Species names;BodyMass;sessile/mobile;Cluster;Shore Height 1 conservative;ShoreHt_C_Ordinal;ShoreHt_C_Breadth;Shore Height 2 restrictive;ShoreHt_R_Ordinal;ShortHt_R_Breadth;Phyllum;subphyllum;trophic
47;chaetomorpha_spp;5,88;S;11;mid, low;1,5;2;mid;2;1;Algae;Chaetophyta;Ephemeral
48;chondrus  canaliculatus;0,68;S;12;mid, low;1,5;2;mid, low;1,5;2;Algae;Rhodophyta;Corticated
49;cladophora spp.;3,5;S;11;mid, low;1,5;2;mid;2;1;Algae;Chaetophyta;Ephemeral
50;codium dimorpha;0,65;S;12;mid, low;1,5;2;mid, low;1,5;2;Algae;Chaetophyta;Corticated
51;colpomenia phaeodactyla;0,5;S;12;mid, low;1,5;2;mid, low;1,5;2;Algae;Phaeophyta;Corticated
52;colpomenia sinuosa;0,5;S;12;mid, low;1,5;2;mid, low;1,5;2;Algae;Phaeophyta;Corticated
53;corallina offcinalis var. chilensis;1,37;S;13;mid, low;1,5;2;low;1;1;Algae;Rhodophyta;Articulated
54;durvillaea antarctica;10;S;12;low;1;1;low;1;1;Algae;Phaeophyta;Kelp
55;ectocarpus silicosus;1;S;11;mid, low;1,5;2;low;1;1;Algae;Phaeophyta;Ephemeral
56;enteromorpha compressa;0,41;S;11;mid, low;1,5;2;mid;2;1;Algae;Chaetophyta;Ephemeral
57;gelidium rex;3,92;S;12;low;1;1;low;1;1;Algae;Rhodophyta;Corticated
58;gelidium spp.;3;S;6;mid, low;1,5;2;low;1;1;Algae;Rhodophyta;Corticated
59;glossophora kunthii;7,88;S;12;mid, low;1,5;2;low;1;1;Algae;Rhodophyta;Corticated
60;grateloupia ;10,31;S;12;mid, low;1,5;2;low;1;1;Algae;Rhodophyta;Corticated
61;gymnogongrus furcellatus;5,2;S;12;mid, low;1,5;2;mid, low;1,5;2;Algae;Rhodophyta;Corticated
62;halopteris funicularis;1,5;S;11;mid, low;1,5;2;low;1;1;Algae;Chaetophyta;Ephemeral
63;hildenbrandia lecanelieri;0,07;S;11;mid, low;1,5;2;low;1;1;Algae;Rhodophyta;Crustose
64;Oulactis concinnata;11;S;8;mid, low;1,5;2;low;1;1;Cnidaria;Anthozoa;Scavenger
65;jhelius cirratus;0,05;S;10;high, mid;2,5;2;high, mid;2,5;2;Arthropoda;Crustacae;FilterFeeder
66;laurencia chilensis;3,01;S;12;mid, low;1,5;2;low;1;1;Algae;Rhodophyta;Corticated
67;lessonia nigrescens;15;S;6;low;1;1;low;1;1;Algae;Phaeophyta;Kelp
68;lithothamnion spp.;0,04;S;6;mid, low;1,5;2;low;1;1;Algae;Rhodophyta;Crustose
70;mazzaella laminarioides;3,86;S;10;mid, low;1,5;2;mid;2;1;Algae;Rhodophyta;Corticated
71;montemaria horridula;0,14;S;12;mid, low;1,5;2;mid;2;1;Algae;Rhodophyta;Corticated
72;nothobalanus flosculus;0,05;S;6;mid, low;1,5;2;low;1;1;Arthropoda;Crustacae;FilterFeeder
73;nothochthamalus scabrosus;0,05;S;10;high, mid;2,5;2;high, mid;2,5;2;Arthropoda;Crustacae;FilterFeeder
74;nothogenia ;2,24;S;12;mid, low;1,5;2;low;1;1;Algae;Rhodophyta;Corticated
75;parantheopsis ;10;S;2;mid, low;1,5;2;low;1;1;Cnidaria;Anthozoa;Scavenger
76;perumytilus purpuratus;2,52;S;5;mid;2;1;mid;2;1;Mollusca;Bivalvia;FilterFeeder
77;petalonia fascia;2;S;12;mid, low;1,5;2;low;1;1;Algae;Phaeophyta;Corticated
78;petroglossum spp.;5;S;12;mid, low;1,5;2;low;1;1;Algae;Rhodophyta;Corticated
79;peysonella spp.;0,05;S;10;high, mid, low;2;3;mid, low;1,5;2;Algae;Rhodophyta;Corticated
80;phragmatopoma spp.;2,5;S;13;mid, low;1,5;2;low;1;1;Annelida;Polychaeta;FilterFeeder
81;phymactis spp.;11,91;S;2;mid, low;1,5;2;mid, low;1,5;2;Cnidaria;Anthozoa;Scavenger
82;plocamium cartilageneum;5;S;12;low;1;1;low;1;1;Algae;Rhodophyta;Corticated
83;polysiphonia_spp;0,88;S;11;mid, low;1,5;2;low;1;1;Algae;Rhodophyta;Ephemeral
84;pyropia spp;1,21;S;10;high;3;1;high;3;1;Algae;Rhodophyta;Ephemeral
85;prionitis spp;2,8;S;12;mid, low;1,5;2;mid, low;1,5;2;Algae;Rhodophyta;Corticated
86;pyura chilensis;2,91;S;13;mid, low;1,5;2;low;1;1;Chordata;Ascidiacea;FilterFeeder
87;ralfsia californica;0,05;S;12;mid, low;1,5;2;low;1;1;Algae;Phaeophyta;Crustose
88;Rhizoclonium ambiguum ;1,3;S;11;mid, low;1,5;2;low;1;1;Algae;Chaetophyta;Ephemeral
89;Gastroclonium cyclindricum;2;S;11;mid, low;1,5;2;low;1;1;Algae;Rhodophyta;Corticated
90;rhodymenia sp;2,47;S;12;mid, low;1,5;2;low;1;1;Algae;Rhodophyta;Corticated
91;sarcothalia ;2,5;S;11;mid, low;1,5;2;low;1;1;Algae;Rhodophyta;Corticated
92;schottera nicaensis;2,53;S;12;mid, low;1,5;2;low;1;1;Algae;Rhodophyta;Corticated
93;schyzimenia doryophora;3;S;12;mid, low;1,5;2;low;1;1;Algae;Rhodophyta;Corticated
94;scythosiphon lomentaria;1,5;S;11;mid, low;1,5;2;mid;2;1;Algae;Rhodophyta;Ephemeral
95;semimytilus algosus;0,04;S;5;mid, low;1,5;2;mid, low;1,5;2;Mollusca;Bivalvia;FilterFeeder
96;trematocarpus ;3,33;S;12;mid, low;1,5;2;low;1;1;Algae;Rhodophyta;Corticated
97;ulva rigida;2,33;S;11;mid, low;1,5;2;mid;2;1;Algae;Chaetophyta;Ephemeral
98;ulvella spp.;0,002;S;11;high, mid, low;2;3;high, mid, low;2;3;Algae;Chaetophyta;Ephemeral
99;plankton;0,00001; ;4;high, mid, low;2;3;high, mid, low;2;3;;; 
100;gulls;500;M;1;high, mid, low;2;3;high, mid, low;2;3;Chordata;Aves;Predator
101;cinclodes nigrofumosus;280;M;1;high, mid, low;2;3;high, mid, low;2;3;Chordata;Aves;Predator
102;Echinolittorina peruviana;0,0129;M;4;high;3;1;high;3;1;Mollusca;Gastropoda;Herbivore
103;austrolittorina araucana;0,0068;M;4;high;3;1;high;3;1;Mollusca;Gastropoda;Herbivore
104;onchidella sp. ;0,0077;M;4;high, mid, low;2;3;high;2;1;Mollusca;Gastropoda;Herbivore
105;Allelopetrolisthes punctatus;2;M;4;low;1;1;low;1;1;Arthropoda;Crustacae;FilterFeeder
106;petrolisthes spinifrons;2;M;4;low;1;1;low;1;1;Arthropoda;Crustacae;FilterFeeder
107;petrolisthes angulosus;2;M;4;mid, low;1,5;2;mid, low;1,5;2;Arthropoda;Crustacae;FilterFeeder
108;petrolisthes tuberculatus;2;M;4;mid, low;1,5;2;mid, low;1,5;2;Arthropoda;Crustacae;FilterFeeder
109;petrolisthes tuberculosus;2;M;4;low;1;1;low;1;1;Arthropoda;Crustacae;FilterFeeder
110;trimusculus peruvianus;1;M;4;mid, low;1,5;2;mid, low;1,5;2;Mollusca;Gastropoda;Herbivore
